created_at,entry_id,field1,field2,field3,field4,field5,field6
2020-11-20 19:59:40 UTC,551472,32,12,1022,97.665154,1,1
2020-11-20 20:00:10 UTC,551473,32,12,1022,97.665154,1,1
2020-11-20 20:00:40 UTC,551474,32,12,1022,97.665154,1,1
2020-11-21 02:32:00 UTC,551475,32,17,1022,87.796677,1,1
2020-11-21 02:32:30 UTC,551476,32,17,1022,87.796677,1,1
2020-11-21 02:33:00 UTC,551477,32,17,1022,87.796677,1,1
2020-11-21 02:33:37 UTC,551478,32,17,1022,87.796677,1,1
2020-11-21 02:34:07 UTC,551479,32,17,1022,87.796677,1,1
2020-11-21 02:34:37 UTC,551480,32,17,1022,87.796677,1,1
2020-11-21 02:35:13 UTC,551481,32,17,1022,87.796677,1,1
2020-11-21 02:35:43 UTC,551482,32,17,1022,87.796677,1,1
2020-11-21 02:36:13 UTC,551483,32,17,1022,87.796677,1,1
2020-11-21 02:36:43 UTC,551484,32,17,1022,87.796677,1,1
2020-11-21 02:37:13 UTC,551485,32,17,1022,87.796677,1,1
2020-11-21 02:37:43 UTC,551486,32,17,1022,87.796677,1,1
2020-11-21 02:38:18 UTC,551487,32,17,1022,87.796677,1,1
2020-11-21 02:38:48 UTC,551488,32,17,1022,87.796677,1,1
2020-11-21 02:39:18 UTC,551489,32,18,1022,87.796677,1,1
2020-11-21 02:39:48 UTC,551490,32,18,1022,87.796677,1,1
2020-11-21 02:40:18 UTC,551491,32,18,1022,87.796677,1,1
2020-11-21 02:40:48 UTC,551492,32,18,1022,87.796677,1,1
2020-11-21 02:41:23 UTC,551493,32,18,1022,87.796677,1,1
2020-11-21 02:41:53 UTC,551494,32,18,1022,87.796677,1,1
2020-11-21 02:42:23 UTC,551495,32,18,1022,87.796677,1,1
2020-11-21 02:42:53 UTC,551496,32,18,1022,87.796677,1,1
2020-11-21 02:43:26 UTC,551497,32,18,1022,92.227142,1,1
2020-11-21 02:43:56 UTC,551498,32,18,1022,92.227142,1,1
2020-11-21 02:44:30 UTC,551499,32,18,1022,92.227142,1,1
2020-11-21 02:45:00 UTC,551500,32,18,1022,92.227142,1,1
2020-11-21 02:45:33 UTC,551501,32,18,1022,91.474937,1,1
2020-11-21 02:46:03 UTC,551502,32,18,1022,91.474937,1,1
2020-11-21 02:46:33 UTC,551503,32,18,1022,91.474937,1,1
2020-11-21 02:47:03 UTC,551504,32,18,1022,91.474937,1,1
2020-11-21 02:47:37 UTC,551505,32,18,1022,91.474937,1,1
2020-11-21 02:48:07 UTC,551506,32,18,1022,91.474937,1,1
2020-11-21 02:48:37 UTC,551507,32,18,1022,91.474937,1,1
2020-11-21 02:49:07 UTC,551508,32,18,1022,91.474937,1,1
2020-11-21 02:49:37 UTC,551509,32,18,1022,91.474937,1,1
2020-11-21 02:50:07 UTC,551510,32,18,1022,91.474937,1,1
2020-11-21 02:50:44 UTC,551511,32,18,1022,58.805225,1,1
2020-11-21 02:51:16 UTC,551512,32,18,1022,177.127518,1,1
2020-11-21 02:51:46 UTC,551513,32,18,1022,177.127518,1,1
2020-11-21 02:52:16 UTC,551514,32,18,1022,177.127518,1,1
2020-11-21 02:52:46 UTC,551515,32,18,1022,177.127518,1,1
2020-11-21 02:53:16 UTC,551516,32,18,1022,177.127518,1,1
2020-11-21 02:53:51 UTC,551517,32,18,1022,257.696289,1,1
2020-11-21 02:54:21 UTC,551518,32,18,1022,257.696289,1,1
2020-11-21 02:54:51 UTC,551519,32,18,1022,257.696289,1,1
2020-11-21 02:55:21 UTC,551520,32,18,1022,257.696289,1,1
2020-11-21 02:55:51 UTC,551521,32,18,1022,257.696289,1,1
2020-11-21 02:56:21 UTC,551522,32,18,1022,257.696289,1,1
2020-11-21 02:56:55 UTC,551523,32,18,1022,257.696289,1,1
2020-11-21 02:57:25 UTC,551524,32,18,1022,257.696289,1,1
2020-11-21 02:57:55 UTC,551525,32,18,1022,257.696289,1,1
2020-11-21 02:58:25 UTC,551526,32,18,1022,257.696289,1,1
2020-11-21 02:58:55 UTC,551527,32,18,1022,257.696289,1,1
2020-11-21 02:59:27 UTC,551528,32,18,1022,47.144199,1,1
2020-11-21 03:00:02 UTC,551529,32,19,1022,47.144199,1,1
2020-11-21 03:00:32 UTC,551530,32,19,1022,47.144199,1,1
2020-11-21 03:01:02 UTC,551531,32,18,1022,47.144199,1,1
2020-11-21 03:01:32 UTC,551532,32,18,1022,47.144199,1,1
2020-11-21 03:02:02 UTC,551533,32,18,1022,47.144199,1,1
2020-11-21 03:02:32 UTC,551534,32,18,1022,47.144199,1,1
